Tipo,Cidade,Estado,Vagas,Quartos,Area,Banheiros,Preco
Sobrado,Jardim Carvalho,Ponta Grossa,2,3,210,1,139500000.0
Apartamento,Centro,Pato Branco,2,3,250,3,139463200.0
Apartamento,Centro,Pato Branco,3,3,370,4,139363300.0
Casa,Jardim América,Pato Branco,2,3,240,4,139000000.0
Casa,Jardim Social,Curitiba,8,4,291,4,139000000.0
Sobrado,Caioba,Matinhos,1,3,130,4,139000000.0
Apartamento,Água Verde,Curitiba,3,4,371,1,139000000.0
Apartamento,Rebouças,Curitiba,3,3,191,1,139000000.0
Cobertura,Boa Vista,Curitiba,2,2,290,4,138500000.0
Casa,Parque Do Som,Pato Branco,2,3,179,3,138000000.0
Casa,Fanny,Curitiba,6,3,302,5,138000000.0
Sobrado,Vila Izabel,Curitiba,4,3,211,3,138000000.0
Casa,Bom Retiro,Curitiba,3,3,200,2,138000000.0
Cobertura,Costa Azul,Matinhos,1,3,119,3,137500000.0
Casa,Santa Cândida,Curitiba,2,3,189,3,137000000.0
Sobrado,Atuba,Curitiba,2,4,200,3,136500000.0
Casa,Campina Do Siqueira,Curitiba,3,4,400,4,136000000.0
Casa,Santa Quitéria,Curitiba,4,3,300,5,136000000.0
Casa,Pinheirinho,Curitiba,9,3,280,4,135000000.0
Apartamento,Alto Da Rua Xv,Curitiba,2,4,256,4,135000000.0
Apartamento,Mossunguê,Curitiba,2,4,241,1,135000000.0
Sobrado,Vila Izabel,Curitiba,2,3,167,5,135000000.0
Sobrado,Vila Izabel,Curitiba,2,3,167,5,135000000.0
Casa,Barro Preto,Prudentópolis,16,4,600,1,135000000.0
Casa,Mercês,Curitiba,5,3,176,3,135000000.0
Sobrado,Vila Izabel,Curitiba,2,3,167,5,135000000.0
Sobrado,Vila Izabel,Curitiba,2,3,167,4,135000000.0
Sobrado,Tingui,Curitiba,8,4,400,3,135000000.0
Sobrado,Hauer,Curitiba,2,3,210,4,135000000.0
Casa,Guabirotuba,Curitiba,4,4,302,1,135000000.0
Sobrado,Santa Cândida,Curitiba,3,4,175,3,135000000.0
Sobrado,Cadorin,Pato Branco,2,3,200,2,135000000.0
Sobrado,São Gabriel,Colombo,1,3,223,1,135000000.0
Cobertura,Cabral,Curitiba,2,3,179,3,135000000.0
Casa,Abranches,Curitiba,4,3,554,2,135000000.0
Casa,Santa Cândida,Curitiba,3,3,211,4,135000000.0
Casa,Uberaba,Curitiba,4,3,209,3,135000000.0
Cobertura,Bigorrilho,Curitiba,3,3,143,3,133000000.0
Casa,Cidade Industrial,Curitiba,3,3,230,3,132000000.0
Apartamento,Caioba,Matinhos,1,3,176,2,132000000.0
Apartamento,Bigorrilho,Curitiba,2,4,303,3,131000000.0
Casa,Jardim Social,Curitiba,8,4,368,8,131000000.0
Apartamento,Centro,Guaratuba,2,3,204,2,130000000.0
Casa,Pilarzinho,Curitiba,3,3,252,1,130000000.0
Sobrado,Parque Do Som,Pato Branco,2,3,220,2,130000000.0
Sobrado,Uberaba,Curitiba,1,5,195,2,130000000.0
Sobrado,Guabirotuba,Curitiba,2,3,247,5,130000000.0
Casa,Cristo Rei,Pato Branco,4,3,215,2,130000000.0
Casa,Balneário Cambiju,Itapoá,4,4,178,3,130000000.0
Casa,Parque Do Som,Pato Branco,2,3,171,1,130000000.0
Casa,São Luiz,Pato Branco,2,3,180,3,130000000.0
Cobertura,Caioba,Matinhos,2,3,155,4,130000000.0
Casa,Juvevê,Curitiba,4,3,190,3,130000000.0
Casa,Eucaliptos,Fazenda Rio Grande,0,4,250,2,130000000.0
Apartamento,Água Verde,Curitiba,3,4,444,4,130000000.0
Cobertura,Santa Felicidade,Curitiba,2,2,200,3,130000000.0
Sobrado,Uberaba,Curitiba,0,2,138,1,130000000.0
Casa,Bonsucesso,Guarapuava,2,3,141,2,130000000.0
Casa,Seminário,Curitiba,6,5,255,3,130000000.0
Sobrado,Jardim Botânico,Curitiba,2,4,234,8,130000000.0
Sobrado,Afonso Pena,São José Dos Pinhais,3,3,483,1,130000000.0
Sobrado,Água Verde,Curitiba,4,3,181,3,130000000.0
Cobertura,Aristocrata,São José Dos Pinhais,2,3,195,1,129990000.0
Sobrado,Bacacheri,Curitiba,0,3,217,2,129900000.0
Apartamento,Centro,Pato Branco,2,3,325,4,129800000.0
Apartamento,Centro,Francisco Beltrão,2,4,262,1,129800000.0
Casa,Santa Felicidade,Curitiba,5,3,329,6,129700000.0
Casa,Parque Do Som,Pato Branco,2,3,203,3,129000000.0
Casa,Fanny,Curitiba,6,4,270,5,129000000.0
Sobrado,Pinheirinho,Curitiba,4,3,198,3,129000000.0
Casa,Jardim Botânico,Curitiba,4,3,208,3,129000000.0
Sobrado,Dos Estados,Guarapuava,6,3,269,2,128000000.0
Casa,La Salle,Pato Branco,2,3,233,4,128000000.0
Casa,Centro,Colombo,4,6,400,2,127000000.0
Sobrado,Uberaba,Curitiba,8,4,272,3,126000000.0
Apartamento,Estrela,Ponta Grossa,2,3,257,2,125000000.0
Triplex,Centro,Guaratuba,0,8,469,10,125000000.0
Sobrado,São Francisco,Pato Branco,2,3,167,1,125000000.0
Casa,Vila Izabel,Curitiba,2,3,167,4,125000000.0
Casa,Água Verde,Curitiba,6,5,449,2,125000000.0
Apartamento,Centro,Pato Branco,2,3,223,4,125000000.0
Sobrado,Vila Izabel,Curitiba,2,3,167,5,125000000.0
Casa,Jardim Primavera,Pato Branco,2,3,210,3,125000000.0
Casa,Alto Da Glória,Curitiba,3,4,251,5,125000000.0
Casa,Pilarzinho,Curitiba,5,4,160,3,125000000.0
Apartamento,Água Verde,Curitiba,2,3,155,3,125000000.0
Casa,São Braz,Curitiba,8,4,246,5,125000000.0
Sobrado,Vila Izabel,Curitiba,2,3,167,5,125000000.0
Casa,Santa Quitéria,Curitiba,8,3,171,3,125000000.0
Sobrado,Vila Izabel,Curitiba,2,3,167,4,125000000.0
Sobrado,Tingui,Curitiba,4,3,266,0,125000000.0
Casa,Fraron,Pato Branco,2,3,191,3,125000000.0
Duplex,Centro,Pinhais,2,3,233,4,125000000.0
Casa,Centro Cívico,Curitiba,2,2,170,2,125000000.0
Casa,Centro,Pinhais,3,5,299,3,125000000.0
Sobrado,Capão Da Imbuia,Curitiba,2,3,169,3,125000000.0
Apartamento,Balneário Princesa Do Mar,Itapoá,1,3,152,3,124510197.0
Casa,Cadorin,Pato Branco,2,3,179,3,124000000.0
Apartamento,Juvevê,Curitiba,2,3,226,4,124000000.0
Cobertura,Centro,Bombinhas,2,2,78,3,122146502.0
Casa,Jardim Social,Curitiba,2,3,340,1,122000000.0
Apartamento,Praia Alegre,Penha,1,3,191,3,121938125.0
Cobertura,Centro,Ponta Grossa,2,3,294,1,121500000.0
Casa,Jardim Das Américas,Curitiba,3,5,278,4,121500000.0
Apartamento,Ahú,Curitiba,2,3,207,3,120900000.0
Apartamento,Caioba,Matinhos,1,2,171,2,120500000.0
Cobertura,Bigorrilho,Curitiba,2,3,199,1,120189240.0
Apartamento,Centro,Pato Branco,2,3,233,3,120077400.0
Cobertura,Portão,Curitiba,2,3,168,3,120000000.0
Casa,Bacacheri,Curitiba,8,5,350,4,120000000.0
Casa,Guabirotuba,Curitiba,5,3,248,2,120000000.0
Casa,Vista Alegre,Curitiba,4,3,174,2,120000000.0
Casa,Centro,Antonina,0,3,131,3,120000000.0
Casa,Pinheirinho,Curitiba,2,3,217,3,120000000.0
Casa,Menino Deus,Pato Branco,2,3,193,3,120000000.0
Apartamento,Juvevê,Curitiba,2,3,301,5,120000000.0
Casa,Jardim Primavera,Pato Branco,2,2,133,3,120000000.0
Sobrado,Santa Felicidade,Curitiba,4,3,215,3,120000000.0
Sobrado,Parque Residencial Santa Terezinha,Colombo,4,6,440,6,120000000.0
Casa,Planta Santa Tereza,Colombo,4,3,185,2,120000000.0
Casa,Bigorrilho,Curitiba,1,3,146,1,120000000.0
Casa,São Francisco,Curitiba,5,3,382,7,120000000.0
Casa,Atuba,Curitiba,8,3,348,2,120000000.0
Sobrado,Mercês,Curitiba,2,3,230,5,120000000.0
Sobrado,Uberaba,Curitiba,4,5,475,8,120000000.0
Apartamento,Alto Da Rua Xv,Curitiba,3,4,327,4,120000000.0
Sobrado,Balneário Pereque,Matinhos,2,3,220,3,120000000.0
Sobrado,Hugo Lange,Curitiba,4,4,243,1,120000000.0
Casa,Oficinas,Ponta Grossa,0,3,295,2,120000000.0
Casa,Gralha Azul,Fazenda Rio Grande,0,6,507,4,120000000.0
Casa,Bairro Alto,Curitiba,5,3,292,4,120000000.0
Casa,Campo Grande,Paranaguá,4,3,260,3,120000000.0
Casa,Boa Vista,Curitiba,4,3,340,2,120000000.0
Casa,Uberaba,Curitiba,7,4,386,3,120000000.0
Casa,Centro,Guaratuba,3,5,264,3,120000000.0
Sobrado,Pinheirinho,Curitiba,4,4,255,4,120000000.0
Casa,Pinheirinho,Curitiba,0,3,219,1,120000000.0
